id,Question,Response
59788,do i know any gigs ?,play a song then
59789,you the owner here ?,that s right .
59790,that s right .,lieutenant snyder . bunco .
59791,which way are the rooms ?,who told ya this guy was in here ?
59792,what s the line on visitation ?,to . that ain t bad .
59793,to . that ain t bad .,he ll probably fall down .
59794,you wanted by the law or somethin ?,naw it s okay .
59795,what do we do ?,you got a bag or somethin ?
59796,you got a bag or somethin ?,no .
59797,no .,how bout a handkerchief ?
59798,how bout a handkerchief ?,here .
59799,you re late . where you been ?,i had some appointments .
59800,i had some appointments .,how much did ya lose ?
59801,how much did ya lose ?,all of it .
59802,you think my play is bad ?,i think it s the best . . .
59803,i m out johnny .,if that s the way you want it .
59804,if that s the way you want it .,that s the way i want it .
59805,wasn t no problem a mine .,he was a con man wasn t he ?
59806,doyle can i see you a minute ?,i m busy floyd .
59807,which one ?,mottola .
59808,mottola .,you sure he didn t just pocket it ?
59809,what about the other one ?,they re still looking for him .
59810,they re still looking for him .,who s got the contract ?
59811,who s got the contract ?,combs gave it to reilly and cole .
59812,combs gave it to reilly and cole .,hackers .
59813,yes sir .,good lad .
59814,turn the goddamn thing off will ya .,you sober ?
59815,you sober ?,i can talk can t i ?
59816,i picked something up on the way .,lonnegan after you too ?
59817,i wanna play for lonnegan .,you know anything about him ?
59818,i ll take him anyway .,why ?
59819,you just worry about your end kid .,if we ever get to it .
59820,how d ya do ?,well we got some workin money anyway .
59821,everything go all right ?,yeh it was easy .
59822,no signs of trouble ?,what do ya mean ?
59823,and ?,he threatened to kill me .
59824,you think he ll show ?,did he say he wouldn t ?
59825,did he say he wouldn t ?,no .
59826,no .,he ll show .
59827,nothin . i told ya everything there is .,then why d ya move outa your room ?
59828,then why d ya move outa your room ?,it was too noisy .
59829,henry .,yeh .
59830,you wanta wait for your share ?,naw i d just blow it .
59831,the wire is ten years outa date .,that s why he won t know it .
59832,raise .,see ya and raise three .
59833,see ya and raise three .,see and raise five .
59834,see and raise five .,five and call .
59835,raise .,pass .
59836,raise .,raise .
59837,see and raise .,raise .
59838,if ya win it could make ya too .,what are the odds on syphon ?
59839,who are you ?,gondorff asked me to look after ya .
59840,it isn t any better .,where s june today ?
59841,what time you get off work here ?,a .m .
59842,a .m .,you doin anything tonight ?
59843,you doin anything tonight ?,yeh sleepin .
59844,you got a back door to this place ?,no . what s wrong with the front ?
59845,what does this guy want ?,he d like to kill me .
59846,looks like he missed ya .,yeh this time anyway .
59847,hooker !,how ya doin jimmy .
59848,yeh he knows that .,what do you mean ?
59849,so could shaw .,then why the rat ?
59850,that s worth fifteen grand to ya ?,maybe a couple million .
59851,and you were gonna pay me back ?,i am after this race .
59852,you really picked a winner kid .,give em a little time .
59853,well what did i tell ya ?,you re a lucky man all right .
59854,you stayin in or not ?,i m in .
59855,let me talk to him .,no .
59856,how am i gonna do that ?,i don t know figure something out .
59857,you want a drink or something ?,no .
59858,all right riley . what the hell happened ?,we missed him .
59859,we missed him .,you weren t hired to miss him .
59860,what the hell good is hooker to ya ?,he s gonna set up gondorff for us .
59861,he s gonna set up gondorff for us .,he ll never do it .
59862,he ll never do it .,i think he will .
59863,what about this rosebreen ?,sorry . don t know a thing .
59864,he was ?,yes . he admitted it .
59865,then just say he was sixty years old .,is that what it means ?
59866,is that what it means ?,of course .
59867,cheer up darling .,i m sorry .
59868,any luck ?,he s just around the corner .
59869,why did that man want to kill him ?,said he stole his invention .
59870,said he stole his invention .,do you suppose . . . . . ?
59871,what ?,nothing .
59872,nothing .,you better take a drink .
59873,how are you ?,another young man .
59874,another young man .,it s the same one .
59875,oh andy .,don t cry .
59876,you re high enough .,why not ?
59877,give it to me .,oh here she is .
59878,what is it ?,nothing .
59879,don t . it s horrible .,nonsense ! she got at she deserved .
59880,you took that money from julia s hand .,i didn t .
59881,i didn t .,then what are you hiding ?
59882,you hand that over to the police .,i ll do nothing of the sort .
59883,i ll do nothing of the sort .,all right then . i ll tell them .
59884,oh !,now do you believe me !
59885,mother !,and i ll give then proof !
59886,is your father still in there ?,he s waiting for you .
59887,he s waiting for you .,did he tell you where he was going ?
59888,did he tell you where he was going ?,he wouldn t say .
59889,he didn t do it nick !,what do you mean ?
59890,another martini,hello there !
59891,aren t you nick charles ?,yes .
59892,not that scrawny little . . . . ?,yes .
59893,yes .,how did you ever remember me ?
59894,macaulay .,that s it . . . herbert macaulay .
59895,that s it . . . herbert macaulay .,tried him once
59896,tried him once,why don t you try him again ?
59897,come on in .,i ve got to see you alone !
59898,you heard about julia wolf ?,yes .
59899,yes .,there .
59900,where did you hit her ?,why . . . in the heart .
59901,i don t know .,which way did she fall ?
59902,which way did she fall ?,she . . . she fell over backwards .
59903,where did you get this gun ?,i bought it in a pawn shop .
59904,i bought it in a pawn shop .,don t lie to me .
59905,don t lie to me .,that s the truth .
59906,dead ?,he s been dead for three months .
59907,he ll still be your son in law !,you see how much we have to say .
59908,what would your mother say to that ?,this is my wedding .
59909,oh i ll be back before christmas .,it s a promise ?
59910,how s your brother ?,he s all right .
59911,and he still wants to marry me !,he s a brave man .
59912,poor dad does that still bother you ?,only in bad weather .
59913,only in bad weather .,but it isn t bad weather now .
59914,but it isn t bad weather now .,better get home before it is .
59915,you can take that out to the car .,going to run him through the fluoroscope ?
59916,going to run him through the fluoroscope ?,yes .
59917,not at all .,i m very interested in that body .
59918,that woman !,she could tell you where father is .
59919,not a thing .,was there much blood ?
59920,did you kill her ?,gilbert !
59921,yes . i might not have been shot .,we were looking for this bird .
59922,i never saw him before .,what s he want of you ?
59923,what s that to you ?,nothing .
59924,nothing .,what d he think it was to you ?
59925,what d he think it was to you ?,ask him . i don t know .
59926,ask him . i don t know .,i m asking you .
59927,i m asking you .,keep on asking .
59928,not without a warrant .,so you say go on bob .
59929,have you got a pistol permit ?,no .
59930,no .,ever heard of the sullivan act ?
59931,this gun yours ?,no .
59932,no .,who s is it ?
59933,who s is it ?,i ll have to try to remember .
59934,no proof ?,nothing yet to cinch it .
59935,did you know he was hanging around julia ?,no .
59936,no .,he s holding out on you .
59937,he s holding out on you .,let s go and see . taxi !
59938,well what d you think ?,i think we re on the right track .
59939,i think we re on the right track .,who re you calling ?
59940,trail him ! trail who ?,nunheim !
59941,fifty will still get you a hundred .,this is enough for me .
59942,rosebreen .,could this be him ?
59943,what re you doing here ?,i ll take care of him .
59944,are you kidding ?,no .
59945,you mean that body ?,was wynant s .
59946,yesterday . i gave her a thousand dollars .,seen any signs of it bill ?
59947,i said he hadn t written me .,oh then you did hear from him ?
59948,oh then you did hear from him ?,well . . . .
59949,well . . . .,well what ?
59950,well what ?,he telephoned me today .
59951,he telephoned me today .,he did !
59952,when was that ?,about three .
59953,about three .,did you go ?
59954,did you go ?,yes . but he didn t show up .
59955,goodbye .,goodbye .
59956,you did !,that s nothing . i saw him myself .
59957,that s ridiculous .,let him have his say out .
59958,good morning,good morning lieutenant sorry .
59959,i think we may as well sit down .,i guess all the suspects are here .
59960,want to take a poke at him ?,i didn t mean you mister .
59961,i ll get some .,you ve said that for weeks .
59962,you ve said that for weeks .,i know .
59963,chris !,all right . all right .
59964,all right . all right .,i couldn t go near that woman .
59965,i couldn t go near that woman .,i said all right !
59966,what are you going to do ?,just what i said i d do .
59967,wouldn t i . just watch me .,chris chris !
59968,why you said . . .,never mind .
59969,we re just having a little drink .,so i see .
59970,what did you do with the rest ?,i never had it .
59971,oh he s sitting up .,good .
59972,asta don t bother mr . macaulay .,that s all right .
59973,i m not telling anyone .,but suppose some business comes up . . .
59974,but suppose some business comes up . . .,that s just why i m going .
59975,no .,well let me do that for you .
59976,thanks and goodbye .,what ll i do if something comes up ?
59977,is julia going with you ?,no .
59978,how are you ?,hello macaulay . come in .
59979,oh nick . . . nick !,hello mimi .
59980,well don t you ?,you re always teasing .
59981,dorothy ! is she here ?,yes . . .
59982,i ve never heard about you .,i didn t knock julia off .
59983,i didn t knock julia off .,all right you didn t .
59984,what s that ?,this is your party .
59985,why do you say that ?,once i wanted five grand cash
59986,so it s you he was after !,hello baby .
59987,pretty girl .,if you like em like that .
59988,if you like em like that .,you got types ?
59989,much better thanks .,how many drinks have you had ?
59990,how many drinks have you had ?,six martinis .
59991,what hit me ?,that last martini .
59992,who s that ?,santa claus .
59993,come on relax give them a drink .,we need ice .
59994,isn t that my drink ?,what are you drinking ?
59995,what are you drinking ?,rye .
59996,she didn t tell me a thing .,too bad you didn t bring your whip .
59997,nick ! nick ! are you asleep ?,yes .
